;index;date;couleur des yeux;age;exp;salaire;sexe;diplome;métier;note;dispo;embauche;ville d'origine
91;91;23/08/2010;Marron;38.0;11.0;39178.0;M;master;Data Scientist;64.62;oui;0;1
92;92;23/10/2013;Hazel;45.0;3.0;36206.0;F;licence;Data Scientist;73.93;non;0;4
93;93;20/01/2010;Bleu;23.0;9.0;28975.0;M;master;Data Scientist;73.4;non;0;3
94;94;22/10/2011;Marron;35.0;3.0;31214.0;F;doctorat;Data Analyst;87.67;oui;0;2
95;95;14/03/2014;Marron;25.0;6.0;31112.0;M;doctorat;Data Analyst;87.69;oui;0;12
96;96;22/06/2011;Hazel;56.0;10.0;33522.0;M;doctorat;Data Scientist;106.21;oui;0;5
97;97;03/12/2012;Hazel;46.0;10.0;29724.0;F;master;Data Scientist;75.23;non;0;3
98;98;01/11/2012;Vert;19.0;11.0;29818.0;M;bac;Data Scientist;89.99;non;0;2
99;99;12/07/2012;Bleu;47.0;8.0;41011.0;M;bac;Data Engineer;51.12;non;0;11
100;100;29/02/2012;Vert;28.0;7.0;40274.0;M;bac;Data Scientist;36.17;non;0;12
101;101;24/09/2012;Marron;25.0;11.0;40667.0;M;master;Data Scientist;59.06;non;0;1
102;102;27/01/2011;Hazel;31.0;15.0;27918.0;F;licence;Data Analyst;88.57;non;0;15
103;103;30/07/2013;Marron;40.0;6.0;27185.0;F;doctorat;Data Engineer;115.42;oui;0;2
104;104;18/09/2013;Marron;30.0;8.0;31390.0;F;licence;Data Steward;65.38;non;1;1
105;105;24/09/2014;Marron;42.0;7.0;31662.0;F;master;Data Analyst;82.17;non;0;11
106;106;13/06/2010;Hazel;48.0;13.0;34549.0;M;master;Data Scientist;79.02;oui;0;4
107;107;05/12/2014;Bleu;39.0;10.0;31230.0;F;licence;Data Scientist;95.83;non;0;10
108;108;31/08/2012;Marron;38.0;9.0;34463.0;F;master;Data Scientist;51.43;non;1;14
109;109;04/06/2014;Bleu;36.0;6.0;38938.0;M;licence;Data Scientist;89.26;oui;1;3
110;110;29/12/2010;Vert;35.0;3.0;30140.0;M;master;Data Analyst;71.31;oui;0;5
111;111;20/05/2010;Bleu;46.0;10.0;40090.0;M;master;Data Steward;94.77;oui;0;6
112;112;09/12/2010;Hazel;14.0;13.0;34851.0;F;master;Data Analyst;74.46;non;0;5
113;113;25/07/2010;Marron;26.0;9.0;38029.0;M;master;Data Scientist;63.48;non;0;13
114;114;22/08/2010;Vert;50.0;9.0;19925.0;F;master;Data Scientist;118.62;non;0;5
115;115;04/04/2013;Marron;34.0;6.0;50575.0;M;bac;Data Scientist;27.09;non;0;15
116;116;05/05/2013;Bleu;50.0;14.0;37151.0;M;licence;Data Analyst;71.5;oui;0;14
117;117;08/03/2011;Bleu;44.0;8.0;38498.0;M;bac;Data Engineer;44.03;non;0;14
118;118;31/03/2012;Vert;32.0;9.0;24340.0;M;licence;Data Scientist;89.87;non;0;11
119;119;09/06/2011;Hazel;34.0;13.0;35201.0;F;licence;Data Scientist;75.3;non;0;4
120;120;09/11/2012;Vert;46.0;9.0;35296.0;M;bac;Data Engineer;65.37;non;0;6
121;121;19/09/2013;Vert;36.0;9.0;38650.0;M;bac;Data Scientist;40.65;non;0;9
122;122;19/02/2010;Hazel;28.0;11.0;33974.0;M;master;Data Scientist;73.38;non;0;12
123;123;28/09/2011;Bleu;55.0;7.0;26237.0;M;master;Data Scientist;78.58;non;0;14
124;124;27/04/2013;Hazel;32.0;11.0;36192.0;M;master;Data Scientist;74.06;non;1;2
125;125;14/12/2012;Hazel;30.0;6.0;25036.0;F;master;Data Analyst;69.38;non;0;11
126;126;16/11/2013;Marron;28.0;8.0;34022.0;F;doctorat;Data Scientist;109.51;oui;0;9
127;127;20/03/2012;Hazel;48.0;14.0;34885.0;F;licence;Data Scientist;58.73;non;0;10
128;128;28/08/2012;Hazel;34.0;7.0;30707.0;F;licence;Data Analyst;86.99;non;0;11
129;129;15/11/2013;Vert;25.0;8.0;29581.0;M;licence;Data Engineer;86.95;oui;0;4
130;130;13/10/2013;Marron;41.0;12.0;39633.0;M;master;Data Analyst;82.86;oui;0;5
131;131;16/10/2013;Bleu;33.0;5.0;33748.0;M;bac;Data Scientist;49.26;non;0;2
132;132;30/08/2013;Bleu;33.0;9.0;37206.0;M;licence;Data Scientist;60.48;non;0;9
133;133;01/02/2012;Hazel;52.0;7.0;45676.0;M;licence;Data Scientist;55.08;non;0;1
134;134;01/07/2010;Marron;39.0;12.0;35233.0;F;master;Data Engineer;89.98;oui;0;2
135;135;16/01/2012;Hazel;28.0;13.0;33426.0;M;master;Data Engineer;54.68;oui;0;11
136;136;17/05/2010;Bleu;26.0;6.0;38102.0;M;licence;Data Engineer;65.54;oui;0;4
137;137;18/03/2014;Hazel;;3.0;30439.0;M;doctorat;Data Scientist;102.43;oui;1;10
138;138;29/09/2011;Bleu;33.0;15.0;43145.0;F;bac;Data Scientist;45.39;non;0;13
139;139;29/04/2011;Vert;30.0;6.0;39937.0;M;bac;Data Scientist;42.35;non;0;10
140;140;11/11/2014;Marron;29.0;10.0;41452.0;F;licence;Data Engineer;72.0;oui;0;5
141;141;25/06/2011;Hazel;41.0;11.0;30203.0;F;doctorat;Data Steward;81.81;oui;0;7
142;142;25/04/2011;Bleu;65.0;10.0;38355.0;F;licence;Data Steward;66.45;oui;0;3
143;143;20/04/2012;Marron;29.0;8.0;31661.0;F;master;Data Scientist;77.21;non;1;1
144;144;26/03/2011;Bleu;42.0;9.0;34427.0;M;master;Data Scientist;87.08;oui;1;3
145;145;02/02/2010;Bleu;46.0;10.0;44708.0;M;bac;Data Analyst;50.04;non;0;10
146;146;01/01/2013;Hazel;33.0;10.0;37521.0;M;master;Data Scientist;70.78;non;0;6
147;147;23/10/2014;Marron;41.0;8.0;36027.0;M;doctorat;Data Analyst;87.89;oui;0;7
148;148;02/04/2014;Marron;41.0;12.0;44648.0;M;;Data Scientist;83.16;oui;0;2
149;149;02/08/2013;Bleu;41.0;9.0;37380.0;M;licence;Data Scientist;46.17;non;0;2
150;150;27/08/2013;Marron;31.0;6.0;40260.0;M;doctorat;Data Scientist;68.36;oui;0;12
151;151;15/05/2011;Bleu;35.0;10.0;35035.0;M;master;Data Scientist;78.59;oui;0;15
152;152;28/06/2013;Marron;25.0;6.0;24888.0;M;doctorat;Data Scientist;103.27;oui;0;14
153;153;15/08/2014;Hazel;27.0;2.0;36849.0;F;master;Data Steward;63.62;oui;0;8
154;154;09/04/2013;Hazel;55.0;11.0;32093.0;F;master;Data Scientist;66.47;non;1;8
155;155;04/10/2014;Vert;46.0;8.0;30537.0;M;master;Data Scientist;99.88;oui;0;10
156;156;15/02/2010;Hazel;27.0;10.0;44654.0;M;licence;Data Scientist;54.79;non;0;4
157;157;22/10/2013;Bleu;39.0;6.0;30319.0;M;master;Data Analyst;82.99;non;0;5
158;158;11/01/2013;Hazel;47.0;9.0;41592.0;M;licence;Data Engineer;51.26;oui;0;14
159;159;03/03/2012;Hazel;25.0;10.0;44516.0;M;licence;Data Scientist;30.1;non;0;1
160;160;01/01/2011;Hazel;26.0;8.0;35192.0;M;master;Data Scientist;78.6;oui;1;15
161;161;05/12/2010;Marron;35.0;14.0;45383.0;M;master;Data Scientist;41.2;non;0;9
162;162;08/04/2013;Bleu;33.0;8.0;34016.0;M;licence;Data Scientist;87.76;non;0;1
163;163;23/01/2011;Hazel;30.0;11.0;38777.0;F;master;Data Steward;89.77;oui;0;7
164;164;18/02/2011;Hazel;10.0;9.0;38767.0;F;master;Data Steward;89.16;oui;0;7
165;165;23/10/2010;Bleu;41.0;13.0;29822.0;M;;Data Engineer;106.89;oui;0;8
166;166;29/10/2014;Marron;41.0;11.0;38688.0;M;master;Data Engineer;53.96;oui;0;14
167;167;28/10/2010;Bleu;44.0;6.0;39636.0;M;licence;Data Analyst;81.14;oui;0;11
168;168;13/08/2013;Marron;37.0;8.0;41845.0;M;master;Data Engineer;68.81;oui;0;2
169;169;25/11/2014;Hazel;24.0;8.0;45464.0;M;bac;Data Scientist;62.18;non;0;10
170;170;08/01/2014;Marron;28.0;7.0;26192.0;F;master;Data Scientist;43.64;non;1;9
171;171;28/05/2010;Bleu;32.0;10.0;34404.0;M;licence;Data Scientist;84.44;oui;0;12
172;172;28/11/2013;Marron;49.0;9.0;36429.0;M;doctorat;Data Scientist;77.48;oui;0;7
173;173;08/10/2011;Hazel;29.0;9.0;33647.0;M;master;Data Analyst;79.82;oui;0;6
174;174;31/01/2013;Bleu;24.0;8.0;34635.0;M;licence;Data Scientist;;non;0;15
175;175;12/05/2013;Marron;39.0;5.0;36062.0;F;master;Data Engineer;92.76;oui;0;13
176;176;10/06/2011;Vert;41.0;6.0;27529.0;M;bac;Data Scientist;63.09;non;0;2
177;177;28/12/2014;Marron;51.0;8.0;38787.0;M;master;Data Scientist;83.2;oui;0;13
178;178;05/10/2013;Hazel;19.0;11.0;34944.0;M;master;Data Scientist;74.52;oui;0;8
179;179;01/11/2010;Bleu;39.0;8.0;32764.0;M;master;Data Analyst;68.91;oui;0;10
180;180;02/02/2010;Marron;35.0;11.0;40120.0;M;master;Data Engineer;;oui;0;1
181;181;12/08/2014;Marron;27.0;13.0;37183.0;F;master;Data Analyst;87.08;oui;0;2
182;182;19/05/2013;Bleu;48.0;8.0;38887.0;M;bac;Data Scientist;56.84;non;0;12
183;183;14/04/2014;Marron;44.0;12.0;37808.0;M;master;Data Analyst;85.26;oui;0;2
184;184;29/07/2014;Hazel;41.0;9.0;38068.0;F;licence;Data Scientist;85.13;non;0;8
185;185;03/12/2011;Marron;27.0;8.0;32194.0;F;doctorat;Data Scientist;90.37;oui;0;6
186;186;25/06/2012;Marron;30.0;9.0;33557.0;M;master;Data Scientist;65.9;non;0;6
187;187;23/01/2013;Bleu;26.0;10.0;30687.0;F;bac;Data Scientist;78.85;non;0;10
188;188;30/12/2014;Vert;30.0;7.0;32580.0;M;bac;Data Engineer;37.53;non;0;5
189;189;25/04/2011;Hazel;55.0;10.0;29393.0;F;master;Data Analyst;77.14;non;0;15
190;190;16/10/2011;Marron;16.0;9.0;38461.0;F;licence;Data Engineer;74.7;non;0;11
191;191;;Bleu;37.0;3.0;32211.0;M;master;Data Scientist;84.25;non;0;6
192;192;14/11/2011;Marron;46.0;11.0;26418.0;M;master;Data Scientist;60.8;non;1;1
193;193;30/05/2014;Hazel;20.0;11.0;37208.0;M;licence;Data Scientist;66.9;non;1;7
194;194;15/06/2010;Hazel;17.0;7.0;37927.0;M;licence;Data Scientist;65.19;oui;0;12
195;195;02/09/2013;Vert;35.0;8.0;45084.0;F;bac;Data Scientist;55.83;non;0;1
196;196;02/02/2012;Hazel;33.0;6.0;35049.0;F;licence;Data Engineer;64.77;non;0;8
197;197;02/04/2011;Marron;41.0;10.0;39570.0;M;doctorat;Data Engineer;67.14;oui;0;11
198;198;29/12/2010;Bleu;35.0;11.0;31954.0;F;licence;Data Analyst;92.75;non;0;6
199;199;03/02/2010;Hazel;47.0;13.0;33428.0;F;master;Data Analyst;73.71;non;0;8
200;200;01/03/2010;Marron;35.0;15.0;44976.0;M;doctorat;Data Scientist;83.02;oui;0;10
201;201;20/12/2010;Hazel;30.0;9.0;35411.0;F;master;Data Analyst;87.32;oui;0;10
202;202;08/05/2012;Marron;53.0;9.0;34831.0;M;doctorat;Data Scientist;86.12;oui;0;1
203;203;17/12/2010;Bleu;37.0;10.0;39375.0;M;bac;Data Scientist;35.95;non;0;12
204;204;04/02/2014;Bleu;47.0;15.0;29103.0;M;master;Data Scientist;83.82;non;0;14
205;205;20/04/2010;Marron;30.0;12.0;37408.0;F;licence;Data Scientist;56.41;non;0;4
206;206;30/08/2011;Marron;23.0;12.0;42563.0;M;master;Data Engineer;76.64;oui;0;5
207;207;24/04/2012;Hazel;23.0;13.0;33267.0;F;master;Data Scientist;85.68;non;0;15
208;208;12/03/2012;Marron;19.0;6.0;33842.0;F;doctorat;Data Steward;100.69;oui;0;14
209;209;05/01/2012;Vert;30.0;7.0;32363.0;F;bac;Data Engineer;79.79;non;0;5
210;210;01/04/2014;Marron;16.0;13.0;38540.0;F;master;Data Engineer;86.07;oui;0;1
211;211;09/05/2014;Hazel;12.0;10.0;31557.0;F;master;Data Engineer;115.51;oui;1;15
212;212;25/01/2011;Bleu;29.0;5.0;34391.0;F;licence;Data Analyst;71.15;non;0;7
213;213;23/05/2013;Hazel;35.0;4.0;41347.0;M;licence;Data Scientist;61.99;non;0;11
214;214;22/11/2011;Bleu;23.0;12.0;31454.0;M;master;Data Scientist;79.23;non;0;13
215;215;04/10/2011;Hazel;42.0;10.0;25871.0;F;doctorat;Data Analyst;118.8;non;0;1
216;216;08/08/2014;Hazel;40.0;5.0;35550.0;M;master;Data Scientist;73.93;non;0;9
217;217;05/10/2012;Hazel;33.0;7.0;29077.0;F;master;Data Scientist;66.57;non;1;6
218;218;20/12/2013;Bleu;37.0;10.0;41834.0;F;bac;Data Steward;94.06;oui;1;5
219;219;08/09/2010;Vert;14.0;9.0;32178.0;F;licence;Data Engineer;95.47;oui;0;8
220;220;05/03/2014;Hazel;27.0;10.0;24244.0;F;master;Data Scientist;105.13;non;0;15
221;221;09/03/2010;Bleu;35.0;10.0;32668.0;M;licence;Data Scientist;47.54;non;0;10
222;222;08/10/2010;Bleu;35.0;9.0;28240.0;M;doctorat;Data Scientist;69.69;oui;0;10
223;223;11/10/2010;Bleu;47.0;9.0;30746.0;F;bac;Data Scientist;60.95;non;0;3
224;224;21/01/2010;Hazel;29.0;8.0;35566.0;M;licence;Data Scientist;52.24;non;0;15
225;225;08/11/2010;Marron;25.0;12.0;39166.0;F;licence;Data Engineer;62.34;non;0;6
226;226;06/05/2012;Marron;29.0;9.0;36993.0;M;licence;Data Scientist;51.39;non;0;7
227;227;21/10/2013;Hazel;47.0;9.0;37292.0;M;licence;Data Scientist;43.92;non;0;2
228;228;20/03/2010;Hazel;31.0;10.0;34735.0;M;licence;Data Scientist;73.37;non;0;9
229;229;27/05/2013;Hazel;37.0;12.0;40393.0;M;licence;Data Scientist;54.47;non;0;12
230;230;27/01/2012;Vert;46.0;17.0;30162.0;F;licence;Data Engineer;76.04;non;0;5
231;231;25/08/2013;Marron;13.0;17.0;29115.0;F;doctorat;Data Scientist;103.68;non;0;6
232;232;04/06/2011;Hazel;47.0;11.0;39773.0;M;master;Data Scientist;79.24;oui;1;9
233;233;22/09/2012;Hazel;22.0;11.0;37137.0;M;licence;Data Scientist;41.03;non;0;10
234;234;02/05/2013;Marron;30.0;11.0;26832.0;F;master;Data Scientist;90.87;non;0;5
235;235;24/12/2014;Hazel;25.0;15.0;28404.0;F;doctorat;Data Engineer;95.05;oui;0;13
236;236;11/04/2010;Bleu;47.0;6.0;31637.0;M;master;Data Analyst;82.33;non;1;11
237;237;03/09/2011;Marron;21.0;4.0;29451.0;F;master;Data Scientist;93.78;non;0;1
238;238;02/11/2012;Marron;35.0;9.0;42252.0;M;licence;Data Scientist;40.01;non;0;3
239;239;11/12/2013;Bleu;27.0;11.0;29881.0;M;licence;Data Scientist;62.57;non;0;8
240;240;03/03/2012;Marron;21.0;13.0;42108.0;M;master;Data Analyst;57.88;oui;0;6
241;241;18/11/2011;Marron;40.0;9.0;25242.0;F;doctorat;Data Analyst;91.19;non;0;7
242;242;21/07/2011;Hazel;46.0;13.0;43821.0;;licence;Data Analyst;74.31;non;0;8
243;243;17/11/2010;Marron;36.0;9.0;37932.0;M;master;Data Scientist;65.23;non;0;10
244;244;03/01/2013;Bleu;33.0;8.0;31382.0;M;master;Data Scientist;92.23;oui;0;15
245;245;26/11/2011;Marron;41.0;14.0;39442.0;F;master;Data Engineer;77.5;oui;0;9
246;246;03/02/2012;Hazel;29.0;10.0;33578.0;M;master;Data Scientist;77.51;non;1;2
247;247;09/12/2013;Hazel;43.0;14.0;30087.0;M;master;Data Analyst;74.56;non;1;12
248;248;19/04/2012;Hazel;37.0;14.0;38409.0;M;licence;Data Scientist;67.24;non;0;8
249;249;04/03/2012;Marron;33.0;14.0;31308.0;M;master;Data Scientist;59.07;non;1;6
250;250;24/01/2010;Hazel;35.0;5.0;34569.0;F;master;Data Analyst;66.78;non;1;1
251;251;13/03/2011;Marron;35.0;11.0;29068.0;F;doctorat;Data Steward;117.36;oui;0;13
252;252;11/08/2013;Hazel;36.0;11.0;35686.0;F;licence;Data Scientist;76.26;non;0;5
253;253;25/06/2014;Bleu;35.0;10.0;31894.0;M;doctorat;Data Scientist;87.71;oui;1;15
254;254;18/08/2011;Hazel;33.0;8.0;38218.0;F;licence;Data Scientist;49.78;non;0;10
255;255;07/01/2014;Bleu;30.0;12.0;33725.0;M;master;Data Scientist;71.22;non;0;14
256;256;08/08/2010;Bleu;24.0;13.0;29919.0;M;master;Data Scientist;80.52;non;0;4
257;257;09/10/2014;Marron;50.0;8.0;43433.0;M;licence;Data Scientist;54.27;non;0;5
258;258;10/01/2011;Marron;8.0;10.0;44530.0;F;licence;Data Steward;70.58;oui;0;15
259;259;19/10/2014;Bleu;35.0;14.0;35476.0;M;master;Data Scientist;93.38;oui;1;6
260;260;22/10/2011;Hazel;15.0;11.0;40196.0;F;licence;Data Steward;63.51;oui;1;14
261;261;24/03/2011;Vert;29.0;6.0;35897.0;M;licence;Data Engineer;85.07;oui;0;11
262;262;22/06/2013;Marron;43.0;10.0;42208.0;M;master;Data Engineer;76.3;oui;0;9
263;263;16/10/2011;Bleu;57.0;3.0;33236.0;F;licence;Data Engineer;83.52;non;0;10
264;264;08/08/2010;Marron;39.0;11.0;32664.0;F;master;Data Engineer;76.07;oui;0;9
265;265;14/05/2012;Bleu;26.0;8.0;42966.0;M;master;Data Engineer;70.59;oui;0;7
266;266;28/04/2013;Hazel;32.0;3.0;32460.0;M;master;Data Scientist;64.21;non;0;7
267;267;29/06/2013;Bleu;28.0;12.0;31146.0;M;doctorat;Data Scientist;96.55;oui;1;1
268;268;09/04/2012;Marron;32.0;11.0;33625.0;F;master;Data Scientist;56.08;non;1;9
269;269;08/04/2012;Marron;37.0;9.0;36413.0;M;doctorat;;69.59;oui;1;3
270;270;16/07/2012;Vert;13.0;7.0;30800.0;F;bac;Data Engineer;46.97;non;0;4
271;271;11/07/2012;Bleu;40.0;12.0;31244.0;M;master;Data Engineer;58.75;non;0;12
272;272;12/09/2010;Marron;34.0;13.0;31142.0;F;doctorat;Data Analyst;76.68;oui;0;14
273;273;06/07/2013;Marron;36.0;9.0;38686.0;M;doctorat;Data Engineer;57.57;oui;0;10
